Date,AAPL,ABBV,ACN,ADBE,AMZN,AVGO,BA,C,CAT,CMCSA,COST,CRM,CSCO,DHR,DIS,GOOGL,GS,HON,INTC,JNJ,JPM,KO,LIN,LLY,LOW,MA,MDT,MRK,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PYPL,T,TMO,TSLA,TXN,UNH,UNP,UPS,V,VZ,WMT
2015-01-02,24.435266494750977,44.72827911376953,76.2450180053711,72.33999633789062,15.425999641418457,76.98619842529297,113.65721130371094,42.67304229736328,71.16608428955078,23.460521697998047,115.23226928710938,59.1627197265625,20.65743064880371,54.97315979003906,87.09242248535156,26.477500915527344,162.28045654296875,78.93670654296875,28.187454223632812,81.20557403564453,48.26831817626953,31.347837448120117,108.74923706054688,58.181396484375,57.39344787597656,80.79254913330078,57.85725021362305,41.06438064575195,40.37806701660156,21.066465377807617,49.84857177734375,42.926761627197266,4.832578182220459,38.27278137207031,72.30628204345703,20.950946807861328,69.53636932373047,,12.72672176361084,124.61557006835938,14.620667457580566,41.67705154418945,87.57101440429688,96.47591400146484,82.43181610107422,62.13297653198242,29.7929630279541,23.641942977905273
2015-01-05,23.746891021728516,43.88654327392578,74.95765686035156,71.9800033569336,15.10949993133545,75.75560760498047,112.87005615234375,41.32819366455078,67.40949249267578,22.982067108154297,113.92218017578125,58.094112396240234,20.245927810668945,54.428043365478516,85.8197021484375,25.972999572753906,157.21360778808594,77.43243408203125,27.869604110717773,80.63839721679688,46.76982879638672,31.347837448120117,105.87882995605469,57.60838317871094,56.020084381103516,78.52001190185547,57.61576843261719,41.67472457885742,40.00675964355469,20.84333610534668,47.31142807006836,42.23563766479492,4.750956058502197,37.736053466796875,71.76268005371094,20.83726692199707,69.20574188232422,,12.606484413146973,122.90372467041016,14.005999565124512,41.030235290527344,86.12859344482422,93.21424865722656,80.78137969970703,60.76149368286133,29.545536041259766,23.573139190673828
2015-01-06,23.749126434326172,43.6693115234375,74.4169692993164,70.52999877929688,14.76449966430664,74.03262329101562,111.54061126708984,39.87325668334961,66.97574615478516,22.682266235351562,115.42756652832031,57.1253776550293,20.238445281982422,54.056087493896484,85.36450958251953,25.332000732421875,154.03326416015625,77.25129699707031,27.350194931030273,80.2421646118164,45.5571403503418,31.585887908935547,104.52312469482422,57.89902877807617,56.147247314453125,78.35025787353516,57.32600402832031,43.31184387207031,39.41957473754883,20.924293518066406,46.50143051147461,41.987186431884766,4.60691499710083,37.34648513793945,71.21908569335938,21.011137008666992,68.89049530029297,,12.625267028808594,121.75601959228516,14.085332870483398,40.35226058959961,85.95479583740234,91.2864990234375,80.25115966796875,60.36996078491211,29.843719482421875,23.754785537719727
2015-01-07,24.082138061523438,45.43427276611328,75.97895050048828,71.11000061035156,14.920999526977539,76.03243255615234,113.27239227294922,40.24288558959961,68.01363372802734,22.66173553466797,117.4374771118164,56.85573196411133,20.425487518310547,54.383148193359375,86.23774719238281,25.25749969482422,156.32882690429688,77.81048583984375,27.92386245727539,82.01360321044922,45.62666320800781,31.980173110961914,105.69470977783203,57.49211502075195,57.81735610961914,79.56903839111328,58.758750915527344,44.238101959228516,39.9203987121582,21.11583137512207,46.74285888671875,42.854488372802734,4.59490966796875,37.35513687133789,73.3016128540039,21.298683166503906,69.25187683105469,,12.698880195617676,125.4034194946289,14.063332557678223,41.076995849609375,86.83242797851562,91.7907943725586,80.99797058105469,61.17880630493164,29.65113639831543,24.38505744934082
2015-01-08,25.007427215576172,45.909446716308594,77.13754272460938,72.91999816894531,15.02299976348877,79.8321762084961,115.27527618408203,40.84844970703125,68.71074676513672,23.15456199645996,118.44649505615234,58.51356506347656,20.582612991333008,55.22325897216797,87.12958526611328,25.345500946044922,158.82469177246094,79.22806549072266,28.443273544311523,82.6584243774414,46.646240234375,32.36698532104492,107.43537139892578,58.85407257080078,59.038116455078125,80.80667114257812,60.16735076904297,45.128475189208984,41.09477996826172,21.244171142578125,47.779998779296875,43.84375,4.767759323120117,37.58022689819336,74.63382720947266,21.733346939086914,70.04381561279297,,12.825217247009277,126.70679473876953,14.041333198547363,41.7471923828125,90.97721862792969,95.2314453125,82.45423126220703,61.99937438964844,30.286659240722656,24.89972686767578
2015-01-09,25.03425407409668,44.65361785888672,77.0517578125,71.83999633789062,14.846500396728516,80.68594360351562,115.04785919189453,39.93617248535156,67.88972473144531,23.11760711669922,116.62372589111328,58.08412551879883,20.79210090637207,54.85131072998047,87.55691528320312,25.035999298095703,156.38717651367188,77.91287231445312,28.49753761291504,81.53187561035156,45.835208892822266,32.00991439819336,105.98762512207031,58.073448181152344,57.92755126953125,79.7768783569336,59.88562774658203,44.92021942138672,40.749385833740234,21.056589126586914,47.04142761230469,43.36042022705078,4.786965847015381,37.56291580200195,74.12847137451172,21.833656311035156,69.39026641845703,,12.786934852600098,126.20098114013672,13.77733325958252,41.77056884765625,90.12567901611328,93.52332305908203,81.84929656982422,61.080345153808594,30.01704978942871,24.591482162475586
2015-01-12,24.417388916015625,44.64004135131836,76.82001495361328,71.12000274658203,14.570500373840332,79.34759521484375,114.46185302734375,39.6215934753418,67.3010482788086,23.068317413330078,115.9727783203125,57.654685974121094,20.986629486083984,54.17152404785156,87.75199890136719,24.85300064086914,154.48403930664062,77.53484344482422,28.373504638671875,81.252197265625,45.44126892089844,31.719797134399414,105.7532730102539,57.64988708496094,57.52061462402344,78.75653839111328,59.94198226928711,44.73356628417969,40.23991012573242,21.003278732299805,45.547142028808594,43.30169677734375,4.7269487380981445,37.45903015136719,73.82225799560547,21.913904190063477,69.13655853271484,,12.821392059326172,124.9852066040039,13.480667114257812,41.39651107788086,89.1090087890625,92.70179748535156,81.87918090820312,60.96076202392578,30.22247314453125,24.775880813598633
2015-01-13,24.63418197631836,43.354251861572266,77.09465026855469,70.58999633789062,14.737000465393066,78.9014663696289,114.72422790527344,39.33847427368164,66.89830780029297,23.343473434448242,114.80913543701172,57.89437484741211,21.0240421295166,54.094566345214844,88.43016052246094,25.09000015258789,154.36712646484375,78.08610534667969,28.29598617553711,81.39205169677734,45.44899368286133,31.71236801147461,105.02523803710938,57.61669158935547,57.529083251953125,78.93607330322266,58.589717864990234,44.654563903808594,40.03266143798828,21.08620834350586,46.255714416503906,42.917728424072266,4.71974515914917,37.16468811035156,73.7686538696289,21.693235397338867,69.4287338256836,,12.821392059326172,124.82958221435547,13.616666793823242,41.13933181762695,89.56084442138672,90.96113586425781,82.23019409179688,61.138954162597656,30.286659240722656,24.580467224121094
2015-01-14,24.540313720703125,43.5662727355957,76.19351959228516,69.98999786376953,14.66349983215332,79.52450561523438,114.03333282470703,38.57560348510742,66.66594696044922,22.924575805664062,113.3606948852539,57.17531204223633,20.889366149902344,53.24162673950195,87.53833770751953,25.296499252319336,150.4438934326172,77.72384643554688,28.1796932220459,80.80155181884766,43.881004333496094,31.660282135009766,104.26366424560547,57.9322509765625,57.13064956665039,78.85101318359375,57.768707275390625,44.97768020629883,39.687252044677734,21.21653175354004,46.31999969482422,42.33050537109375,4.738952159881592,37.27722930908203,74.01364135742188,21.71997833251953,69.19036102294922,,12.76013469696045,122.74811553955078,12.845999717712402,41.076995849609375,89.78678131103516,90.57882690429688,81.67754364013672,59.91513442993164,30.151859283447266,23.837360382080078
2015-01-15,23.874282836914062,43.01228713989258,75.66999053955078,70.29000091552734,14.34749984741211,77.93231201171875,113.82337951660156,37.14426040649414,65.84597778320312,22.998498916625977,113.3606948852539,55.03810501098633,20.507789611816406,52.60671615600586,87.6498031616211,25.20050048828125,148.99148559570312,76.4795150756836,28.05565643310547,79.62837982177734,42.47520446777344,31.526382446289062,104.16326904296875,57.915645599365234,56.248958587646484,77.70782470703125,57.87335205078125,44.43197250366211,39.272769927978516,21.13556671142578,46.25143051147461,41.923954010009766,4.7053422927856445,36.90497589111328,74.01364135742188,21.666479110717773,69.09041595458984,,12.7333345413208,120.73470306396484,12.791333198547363,40.82761764526367,90.7686767578125,90.12336730957031,81.6177978515625,59.34542465209961,30.235307693481445,24.04928207397461
